,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"mu[10216, 2]",47.155,1.197,45.078,49.618,0.02,0.014,3609.0,1566.0,1.0
"mu[10217, 0]",3.887,0.083,3.742,4.057,0.002,0.001,2063.0,1371.0,1.0
"mu[10217, 1]",23.824,0.894,22.154,25.543,0.011,0.008,6196.0,1347.0,1.0
"mu[10217, 2]",50.247,1.205,47.97,52.473,0.02,0.014,3682.0,1327.0,1.0
"mu[10218, 0]",3.909,0.083,3.751,4.064,0.002,0.001,2367.0,1483.0,1.0
"mu[10218, 1]",23.472,0.896,21.674,25.089,0.012,0.008,5593.0,1294.0,1.0
"mu[10218, 2]",49.491,1.177,47.415,51.804,0.02,0.014,3329.0,1458.0,1.0
"mu[10219, 0]",3.744,0.083,3.583,3.898,0.002,0.001,2250.0,1321.0,1.0
"mu[10219, 1]",22.287,0.892,20.562,23.968,0.012,0.008,5715.0,1444.0,1.0
"mu[10219, 2]",48.817,1.206,46.473,50.994,0.02,0.014,3755.0,1504.0,1.0
"mu[10220, 0]",4.579,0.086,4.433,4.751,0.002,0.001,2752.0,1199.0,1.0
"mu[10220, 1]",25.432,0.895,23.724,27.058,0.012,0.009,5206.0,1652.0,1.0
"mu[10220, 2]",44.936,1.083,42.974,47.072,0.018,0.013,3476.0,1281.0,1.0
"mu[10221, 0]",4.678,0.086,4.523,4.839,0.002,0.001,2898.0,1167.0,1.0
"mu[10221, 1]",23.529,0.896,21.792,25.12,0.012,0.009,5480.0,1972.0,1.0
"mu[10221, 2]",47.287,1.192,45.065,49.454,0.02,0.014,3557.0,1178.0,1.0
"mu[10222, 0]",4.693,0.087,4.535,4.856,0.002,0.001,2780.0,1265.0,1.0
"mu[10222, 1]",24.9,0.899,23.27,26.61,0.013,0.009,5163.0,1834.0,1.0
"mu[10222, 2]",50.379,1.153,48.15,52.474,0.019,0.013,3799.0,1573.0,1.0
"mu[10223, 0]",4.716,0.087,4.563,4.883,0.002,0.001,2805.0,1179.0,1.0
"mu[10223, 1]",24.548,0.9,22.844,26.208,0.013,0.009,5139.0,1712.0,1.0
"mu[10223, 2]",49.622,1.138,47.396,51.707,0.019,0.014,3449.0,1443.0,1.0
"mu[10224, 0]",4.55,0.086,4.391,4.71,0.002,0.001,2682.0,1247.0,1.0
"mu[10224, 1]",23.363,0.894,21.613,24.964,0.013,0.009,5202.0,1649.0,1.0
"mu[10224, 2]",48.948,1.182,46.731,51.135,0.019,0.014,3711.0,1502.0,1.0
"mu[10225, 0]",2.966,0.08,2.802,3.101,0.001,0.001,2977.0,1466.0,1.0
"mu[10225, 1]",24.617,0.883,23.002,26.334,0.012,0.008,5626.0,1458.0,1.0
"mu[10225, 2]",45.994,1.076,43.995,47.952,0.017,0.012,3996.0,1303.0,1.0
"mu[10226, 0]",3.059,0.081,2.905,3.205,0.001,0.001,3134.0,1261.0,1.0
"mu[10226, 1]",22.254,0.886,20.477,23.843,0.012,0.009,5421.0,1376.0,1.0
"mu[10226, 2]",48.496,1.172,46.204,50.564,0.019,0.014,3688.0,1356.0,1.0
"mu[10227, 0]",3.091,0.081,2.945,3.247,0.001,0.001,3020.0,1064.0,1.0
"mu[10227, 1]",23.661,0.894,21.916,25.305,0.012,0.009,5516.0,1417.0,1.0
"mu[10227, 2]",51.635,1.158,49.357,53.779,0.019,0.014,3610.0,1316.0,1.0
"mu[10228, 0]",3.118,0.082,2.963,3.266,0.002,0.001,2975.0,1446.0,1.0
"mu[10228, 1]",23.405,0.885,21.662,25.02,0.013,0.009,4919.0,1297.0,1.0
"mu[10228, 2]",50.86,1.148,48.596,52.974,0.019,0.013,3810.0,1446.0,1.0
"mu[10229, 0]",2.952,0.081,2.801,3.106,0.002,0.001,2948.0,1214.0,1.0
"mu[10229, 1]",22.007,0.895,20.321,23.67,0.011,0.008,6084.0,1391.0,1.0
"mu[10229, 2]",49.975,1.149,47.669,51.949,0.018,0.013,4066.0,1170.0,1.0
"mu[10230, 0]",5.289,0.081,5.135,5.441,0.001,0.001,3688.0,1331.0,1.0
"mu[10230, 1]",24.021,0.878,22.461,25.707,0.013,0.009,4680.0,1330.0,1.0
"mu[10230, 2]",45.807,1.103,43.778,47.913,0.017,0.012,4012.0,1481.0,1.0
"mu[10231, 0]",5.383,0.081,5.228,5.529,0.001,0.001,3769.0,1373.0,1.0
"mu[10231, 1]",21.657,0.876,20.086,23.374,0.013,0.009,4437.0,1374.0,1.0
"mu[10231, 2]",48.31,1.184,46.076,50.545,0.019,0.014,3718.0,1632.0,1.0
