,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"mu[3551, 1]",22.968,0.891,21.264,24.59,0.013,0.009,4979.0,1371.0,1.01
"mu[3551, 2]",46.717,1.142,44.577,48.99,0.018,0.013,4080.0,1538.0,1.0
"mu[3552, 0]",6.513,0.082,6.36,6.667,0.001,0.001,3918.0,1519.0,1.0
"mu[3552, 1]",24.526,0.897,22.84,26.214,0.012,0.009,5137.0,1413.0,1.0
"mu[3552, 2]",49.953,1.145,47.827,52.059,0.018,0.013,3868.0,1536.0,1.0
"mu[3553, 0]",6.542,0.082,6.391,6.701,0.001,0.001,3959.0,1347.0,1.0
"mu[3553, 1]",24.251,0.896,22.643,25.984,0.013,0.009,5083.0,1430.0,1.0
"mu[3553, 2]",49.002,1.144,46.954,51.181,0.018,0.013,3957.0,1725.0,1.0
"mu[3554, 0]",6.351,0.082,6.188,6.497,0.001,0.001,4091.0,1420.0,1.0
"mu[3554, 1]",22.934,0.895,21.244,24.563,0.012,0.009,5323.0,1378.0,1.0
"mu[3554, 2]",48.499,1.151,46.324,50.52,0.018,0.013,3945.0,1484.0,1.0
"mu[3555, 0]",5.325,0.079,5.171,5.466,0.001,0.001,5352.0,1581.0,1.0
"mu[3555, 1]",25.582,0.912,23.885,27.231,0.014,0.01,4571.0,1274.0,1.0
"mu[3555, 2]",45.36,1.098,43.351,47.439,0.014,0.01,5939.0,1744.0,1.0
"mu[3556, 0]",5.418,0.08,5.276,5.571,0.001,0.001,5698.0,1375.0,1.0
"mu[3556, 1]",23.219,0.919,21.527,24.971,0.013,0.01,4715.0,1367.0,1.0
"mu[3556, 2]",47.862,1.179,45.788,50.215,0.015,0.011,5515.0,1300.0,1.0
"mu[3557, 0]",5.45,0.079,5.299,5.592,0.001,0.001,5371.0,1738.0,1.0
"mu[3557, 1]",24.626,0.924,22.856,26.259,0.014,0.01,4667.0,1556.0,1.0
"mu[3557, 2]",51.0,1.165,48.724,53.138,0.018,0.012,4327.0,1428.0,1.0
"mu[3558, 0]",5.476,0.08,5.331,5.624,0.001,0.001,5047.0,1555.0,1.0
"mu[3558, 1]",24.371,0.914,22.675,26.044,0.014,0.01,4225.0,1378.0,1.0
"mu[3558, 2]",50.226,1.244,47.806,52.497,0.017,0.012,5378.0,1563.0,1.0
"mu[3559, 0]",5.311,0.08,5.166,5.462,0.001,0.001,5100.0,1607.0,1.0
"mu[3559, 1]",22.972,0.921,21.287,24.727,0.014,0.01,4437.0,1563.0,1.0
"mu[3559, 2]",49.341,1.219,46.952,51.605,0.017,0.012,5327.0,1571.0,1.0
"mu[3560, 0]",4.978,0.083,4.831,5.136,0.001,0.001,3202.0,1233.0,1.0
"mu[3560, 1]",24.708,0.901,23.017,26.393,0.013,0.009,5174.0,1129.0,1.0
"mu[3560, 2]",45.999,1.049,43.967,47.853,0.017,0.012,3843.0,1616.0,1.0
"mu[3561, 0]",5.072,0.083,4.927,5.23,0.001,0.001,3303.0,1226.0,1.0
"mu[3561, 1]",22.345,0.895,20.739,24.106,0.012,0.009,5444.0,1421.0,1.0
"mu[3561, 2]",48.502,1.157,46.44,50.744,0.019,0.013,3875.0,1485.0,1.0
"mu[3562, 0]",5.103,0.083,4.948,5.251,0.001,0.001,3201.0,1315.0,1.0
"mu[3562, 1]",23.752,0.899,22.008,25.367,0.012,0.009,5629.0,1146.0,1.0
"mu[3562, 2]",51.64,1.147,49.425,53.621,0.018,0.013,3984.0,1364.0,1.0
"mu[3563, 0]",5.13,0.083,4.981,5.28,0.002,0.001,3073.0,1367.0,1.0
"mu[3563, 1]",23.496,0.887,21.78,25.126,0.012,0.009,5202.0,1361.0,1.0
"mu[3563, 2]",50.865,1.132,48.695,52.867,0.019,0.013,3577.0,1585.0,1.0
"mu[3564, 0]",4.965,0.084,4.808,5.119,0.002,0.001,3028.0,1518.0,1.0
"mu[3564, 1]",22.098,0.893,20.429,23.831,0.012,0.009,5294.0,1168.0,1.0
"mu[3564, 2]",49.98,1.148,48.068,52.301,0.019,0.013,3687.0,1476.0,1.0
"mu[3565, 0]",6.535,0.075,6.393,6.673,0.001,0.001,3682.0,1665.0,1.0
"mu[3565, 1]",23.606,0.878,21.95,25.251,0.015,0.01,3601.0,1312.0,1.0
"mu[3565, 2]",45.98,1.049,44.046,48.017,0.017,0.012,3757.0,1546.0,1.0
"mu[3566, 0]",6.656,0.075,6.516,6.797,0.001,0.001,3999.0,1611.0,1.0
"mu[3566, 1]",21.42,0.887,19.827,23.137,0.015,0.011,3437.0,1337.0,1.0
"mu[3566, 2]",48.054,1.086,46.06,50.108,0.017,0.012,4139.0,1493.0,1.0
"mu[3567, 0]",6.676,0.075,6.54,6.821,0.001,0.001,3952.0,1585.0,1.0
"mu[3567, 1]",22.881,0.889,21.13,24.476,0.015,0.011,3509.0,1245.0,1.0
"mu[3567, 2]",50.948,1.082,48.866,52.947,0.019,0.013,3301.0,1666.0,1.0
"mu[3568, 0]",6.696,0.075,6.56,6.839,0.001,0.001,3799.0,1608.0,1.0
"mu[3568, 1]",22.593,0.875,20.943,24.222,0.015,0.01,3491.0,1396.0,1.0
"mu[3568, 2]",50.195,1.064,48.087,52.06,0.017,0.012,3718.0,1489.0,1.0
"mu[3569, 0]",6.52,0.075,6.384,6.663,0.001,0.001,3664.0,1586.0,1.0
"mu[3569, 1]",21.495,0.878,19.852,23.153,0.016,0.011,3154.0,1392.0,1.0
"mu[3569, 2]",49.647,1.083,47.545,51.557,0.018,0.013,3449.0,1553.0,1.0
"mu[3570, 0]",6.366,0.08,6.217,6.517,0.001,0.001,2952.0,1142.0,1.0
"mu[3570, 1]",26.908,0.913,25.269,28.664,0.014,0.01,4523.0,1354.0,1.0
"mu[3570, 2]",44.341,1.098,42.183,46.291,0.015,0.011,5042.0,1537.0,1.0
"mu[3571, 0]",6.467,0.08,6.318,6.618,0.002,0.001,2684.0,1319.0,1.0
"mu[3571, 1]",23.993,0.922,22.193,25.66,0.014,0.01,4507.0,1282.0,1.0
"mu[3571, 2]",46.67,1.188,44.473,48.867,0.017,0.012,4647.0,1488.0,1.0
"mu[3572, 0]",6.493,0.08,6.345,6.641,0.002,0.001,2512.0,1211.0,1.0
"mu[3572, 1]",25.551,0.925,23.717,27.215,0.013,0.009,4923.0,1395.0,1.0
"mu[3572, 2]",49.906,1.181,47.584,52.06,0.017,0.012,5056.0,1494.0,1.0
"mu[3573, 0]",6.522,0.08,6.372,6.669,0.002,0.001,2662.0,1225.0,1.0
"mu[3573, 1]",25.275,0.917,23.51,26.965,0.014,0.01,4572.0,1285.0,1.0
"mu[3573, 2]",48.955,1.156,46.781,51.111,0.018,0.013,4050.0,1359.0,1.0
"mu[3574, 0]",6.33,0.08,6.168,6.471,0.002,0.001,2790.0,1213.0,1.0
"mu[3574, 1]",23.958,0.921,22.27,25.679,0.013,0.01,4662.0,1394.0,1.0
"mu[3574, 2]",48.452,1.187,46.283,50.677,0.017,0.012,4933.0,1345.0,1.0
"mu[3575, 0]",5.034,0.081,4.884,5.187,0.001,0.001,3657.0,1320.0,1.0
"mu[3575, 1]",24.72,0.915,23.162,26.647,0.014,0.01,4147.0,1238.0,1.0
"mu[3575, 2]",44.929,1.053,42.878,46.794,0.017,0.012,4061.0,1662.0,1.0
"mu[3576, 0]",5.136,0.081,4.99,5.292,0.001,0.001,3683.0,1345.0,1.0
"mu[3576, 1]",21.805,0.927,19.904,23.433,0.014,0.01,4335.0,1206.0,1.0
"mu[3576, 2]",47.257,1.126,45.133,49.356,0.018,0.013,3747.0,1668.0,1.0
"mu[3577, 0]",5.161,0.081,5.005,5.308,0.001,0.001,3719.0,1583.0,1.0
"mu[3577, 1]",23.363,0.928,21.604,25.071,0.014,0.01,4338.0,1333.0,1.0
"mu[3577, 2]",50.493,1.132,48.449,52.766,0.017,0.012,4262.0,1405.0,1.0
"mu[3578, 0]",5.19,0.081,5.04,5.339,0.001,0.001,3961.0,1374.0,1.0
"mu[3578, 1]",23.088,0.921,21.215,24.717,0.014,0.01,4243.0,1361.0,1.0
"mu[3578, 2]",49.542,1.098,47.484,51.695,0.019,0.013,3340.0,1351.0,1.0
"mu[3579, 0]",4.998,0.081,4.857,5.157,0.001,0.001,3839.0,1507.0,1.0
"mu[3579, 1]",21.771,0.927,20.043,23.526,0.014,0.01,4310.0,1240.0,1.0
"mu[3579, 2]",49.039,1.127,47.063,51.292,0.017,0.012,4254.0,1679.0,1.0
"mu[3580, 0]",4.275,0.081,4.113,4.423,0.001,0.001,4291.0,1309.0,1.0
"mu[3580, 1]",26.49,0.909,24.771,28.137,0.012,0.009,5685.0,1170.0,1.0
"mu[3580, 2]",46.055,1.073,43.92,47.885,0.016,0.012,4347.0,1508.0,1.0
"mu[3581, 0]",4.336,0.082,4.176,4.488,0.001,0.001,4739.0,1018.0,1.0
"mu[3581, 1]",24.202,0.924,22.409,25.815,0.013,0.009,5351.0,1330.0,1.0
"mu[3581, 2]",48.346,1.161,46.157,50.483,0.016,0.011,5354.0,1613.0,1.0
"mu[3582, 0]",4.363,0.082,4.212,4.522,0.001,0.001,4711.0,1072.0,1.0
"mu[3582, 1]",25.541,0.912,23.849,27.238,0.012,0.008,5940.0,1512.0,1.0
"mu[3582, 2]",51.625,1.155,49.492,53.778,0.016,0.011,5162.0,1723.0,1.0
"mu[3583, 0]",4.392,0.081,4.239,4.551,0.001,0.001,4209.0,1311.0,1.0
"mu[3583, 1]",25.321,0.901,23.804,27.121,0.012,0.008,6026.0,1376.0,1.0
"mu[3583, 2]",50.818,1.189,48.623,52.932,0.017,0.012,4595.0,1364.0,1.0
"mu[3584, 0]",4.231,0.081,4.085,4.39,0.001,0.001,4377.0,1028.0,1.0
"mu[3584, 1]",24.078,0.905,22.266,25.585,0.012,0.009,5739.0,1392.0,1.0
"mu[3584, 2]",50.27,1.169,48.252,52.558,0.017,0.012,4484.0,1586.0,1.0
"mu[3585, 0]",5.062,0.078,4.918,5.2,0.001,0.001,3705.0,1260.0,1.0
"mu[3585, 1]",23.245,0.897,21.59,24.96,0.012,0.009,5470.0,1682.0,1.0
"mu[3585, 2]",46.372,1.054,44.451,48.406,0.018,0.013,3548.0,1783.0,1.0
"mu[3586, 0]",5.183,0.078,5.043,5.33,0.001,0.001,3659.0,1297.0,1.0
"mu[3586, 1]",21.059,0.903,19.364,22.698,0.012,0.008,5660.0,1707.0,1.0
"mu[3586, 2]",48.446,1.098,46.559,50.626,0.018,0.013,3739.0,1931.0,1.0
"mu[3587, 0]",5.203,0.077,5.065,5.346,0.001,0.001,3552.0,1336.0,1.0
"mu[3587, 1]",22.52,0.912,20.838,24.21,0.013,0.009,4884.0,1575.0,1.0
"mu[3587, 2]",51.34,1.094,49.358,53.426,0.018,0.013,3620.0,1647.0,1.0
"mu[3588, 0]",5.223,0.078,5.089,5.374,0.001,0.001,3828.0,1381.0,1.0
"mu[3588, 1]",22.232,0.911,20.505,23.921,0.012,0.009,5768.0,1548.0,1.0
"mu[3588, 2]",50.587,1.079,48.762,52.781,0.018,0.013,3608.0,1680.0,1.0
"mu[3589, 0]",5.048,0.078,4.906,5.189,0.001,0.001,3745.0,1336.0,1.0
"mu[3589, 1]",21.133,0.898,19.607,22.932,0.012,0.008,5636.0,1588.0,1.0
"mu[3589, 2]",50.039,1.081,48.161,52.253,0.018,0.013,3759.0,1650.0,1.0
"mu[3590, 0]",8.122,0.082,7.974,8.277,0.002,0.001,2100.0,1487.0,1.0
"mu[3590, 1]",24.162,0.888,22.579,25.869,0.013,0.009,4993.0,1323.0,1.0
"mu[3590, 2]",43.905,1.083,42.063,46.009,0.016,0.012,4324.0,1378.0,1.0
"mu[3591, 0]",8.221,0.083,8.068,8.374,0.002,0.001,2034.0,1530.0,1.0
"mu[3591, 1]",22.26,0.887,20.639,23.931,0.013,0.009,4746.0,1484.0,1.0
"mu[3591, 2]",46.256,1.177,44.046,48.409,0.018,0.013,4232.0,1199.0,1.0
"mu[3592, 0]",8.236,0.084,8.084,8.393,0.002,0.001,2037.0,1403.0,1.0
"mu[3592, 1]",23.63,0.884,22.04,25.331,0.013,0.009,4698.0,1425.0,1.0
"mu[3592, 2]",49.348,1.185,47.233,51.614,0.018,0.012,4527.0,948.0,1.0
"mu[3593, 0]",8.259,0.083,8.108,8.415,0.002,0.001,2014.0,1306.0,1.0
"mu[3593, 1]",23.278,0.889,21.704,24.956,0.013,0.009,4998.0,1354.0,1.0
"mu[3593, 2]",48.592,1.149,46.395,50.727,0.017,0.012,4721.0,1070.0,1.0
"mu[3594, 0]",8.093,0.083,7.942,8.252,0.002,0.001,2096.0,1322.0,1.0
"mu[3594, 1]",22.093,0.878,20.506,23.702,0.013,0.009,4799.0,1568.0,1.0
"mu[3594, 2]",47.917,1.169,45.784,50.072,0.018,0.013,4322.0,1311.0,1.0
"mu[3595, 0]",5.61,0.079,5.46,5.745,0.001,0.001,5636.0,1516.0,1.0
"mu[3595, 1]",24.159,0.867,22.554,25.797,0.013,0.009,4158.0,1289.0,1.0
"mu[3595, 2]",47.015,1.082,44.924,48.949,0.017,0.012,4196.0,1712.0,1.0
"mu[3596, 0]",5.674,0.079,5.539,5.832,0.001,0.001,6602.0,1614.0,1.0
"mu[3596, 1]",22.624,0.868,20.986,24.264,0.013,0.009,4299.0,1456.0,1.0
"mu[3596, 2]",49.5,1.159,47.161,51.521,0.018,0.012,4376.0,1630.0,1.0
"mu[3597, 0]",5.703,0.079,5.549,5.837,0.001,0.001,6180.0,1423.0,1.0
"mu[3597, 1]",24.242,0.861,22.608,25.781,0.013,0.009,4176.0,1405.0,1.0
"mu[3597, 2]",52.939,1.15,50.862,55.184,0.017,0.012,4531.0,1662.0,1.0
"mu[3598, 0]",5.746,0.079,5.594,5.884,0.001,0.001,5332.0,1565.0,1.0
"mu[3598, 1]",23.693,0.86,22.199,25.34,0.013,0.009,4531.0,1342.0,1.0
"mu[3598, 2]",51.991,1.147,49.847,54.217,0.017,0.012,4560.0,1554.0,1.01
"mu[3599, 0]",5.566,0.079,5.425,5.717,0.001,0.001,5939.0,1572.0,1.0
"mu[3599, 1]",22.718,0.874,20.967,24.295,0.014,0.01,4139.0,1411.0,1.0
"mu[3599, 2]",51.498,1.176,49.278,53.695,0.017,0.012,4734.0,1239.0,1.0
"mu[3600, 0]",5.552,0.079,5.405,5.698,0.001,0.001,3723.0,1467.0,1.0
"mu[3600, 1]",24.608,0.912,22.98,26.333,0.012,0.008,5995.0,1494.0,1.0
"mu[3600, 2]",45.766,1.042,43.799,47.676,0.016,0.012,4003.0,1604.0,1.0
"mu[3601, 0]",5.673,0.08,5.523,5.82,0.001,0.001,3947.0,1542.0,1.0
"mu[3601, 1]",22.422,0.916,20.762,24.176,0.011,0.008,6370.0,1540.0,1.0
"mu[3601, 2]",47.841,1.045,45.861,49.721,0.018,0.012,3506.0,1503.0,1.0
"mu[3602, 0]",5.693,0.08,5.546,5.844,0.001,0.001,3581.0,1430.0,1.0
"mu[3602, 1]",23.883,0.914,22.34,25.722,0.012,0.008,6165.0,1342.0,1.0
"mu[3602, 2]",50.735,1.072,48.676,52.626,0.018,0.013,3584.0,1730.0,1.0
"mu[3603, 0]",5.713,0.08,5.576,5.874,0.001,0.001,3587.0,1407.0,1.0
"mu[3603, 1]",23.595,0.918,21.917,25.245,0.012,0.008,6592.0,1508.0,1.0
"mu[3603, 2]",49.982,1.09,48.098,52.147,0.017,0.012,4142.0,1555.0,1.0
"mu[3604, 0]",5.537,0.08,5.387,5.686,0.001,0.001,3937.0,1408.0,1.0
"mu[3604, 1]",22.497,0.924,20.757,24.139,0.012,0.008,6243.0,1256.0,1.0
"mu[3604, 2]",49.434,1.082,47.391,51.406,0.018,0.013,3441.0,1474.0,1.0
"mu[3605, 0]",5.26,0.08,5.1,5.397,0.001,0.001,3579.0,1181.0,1.0
"mu[3605, 1]",24.317,0.848,22.767,25.958,0.012,0.009,4770.0,1444.0,1.0
"mu[3605, 2]",46.383,1.086,44.465,48.522,0.016,0.011,4729.0,1452.0,1.0
"mu[3606, 0]",5.381,0.081,5.225,5.525,0.001,0.001,3940.0,1260.0,1.0
"mu[3606, 1]",22.131,0.856,20.678,23.906,0.012,0.009,4834.0,1422.0,1.0
"mu[3606, 2]",48.457,1.122,46.4,50.46,0.016,0.012,4687.0,1622.0,1.0
"mu[3607, 0]",5.401,0.08,5.247,5.541,0.001,0.001,4212.0,1408.0,1.0
"mu[3607, 1]",23.592,0.858,21.969,25.183,0.012,0.008,5332.0,1273.0,1.0
"mu[3607, 2]",51.352,1.11,49.19,53.267,0.018,0.013,3906.0,1709.0,1.0
"mu[3608, 0]",5.421,0.08,5.263,5.56,0.001,0.001,4088.0,1193.0,1.0
"mu[3608, 1]",23.304,0.86,21.751,24.996,0.012,0.009,4802.0,1553.0,1.0
"mu[3608, 2]",50.598,1.106,48.591,52.697,0.016,0.012,4611.0,1668.0,1.0
"mu[3609, 0]",5.245,0.081,5.102,5.398,0.001,0.001,4181.0,1328.0,1.0
"mu[3609, 1]",22.206,0.856,20.577,23.84,0.012,0.008,5077.0,1483.0,1.0
"mu[3609, 2]",50.05,1.118,48.012,52.153,0.017,0.012,4099.0,1458.0,1.0
"mu[3610, 0]",6.921,0.082,6.759,7.061,0.002,0.001,2552.0,1287.0,1.0
"mu[3610, 1]",25.434,0.863,23.913,27.15,0.013,0.009,4301.0,1502.0,1.01
"mu[3610, 2]",46.174,1.063,44.053,48.047,0.018,0.012,3681.0,1497.0,1.0
"mu[3611, 0]",6.986,0.083,6.818,7.126,0.002,0.001,2030.0,1143.0,1.0
"mu[3611, 1]",23.9,0.874,22.181,25.445,0.013,0.009,4276.0,1393.0,1.01
"mu[3611, 2]",48.659,1.179,46.574,50.929,0.02,0.014,3472.0,1556.0,1.0
"mu[3612, 0]",7.014,0.082,6.85,7.152,0.002,0.001,2094.0,1189.0,1.0
"mu[3612, 1]",25.517,0.872,23.827,27.089,0.013,0.009,4659.0,1329.0,1.01
"mu[3612, 2]",52.099,1.125,49.914,54.129,0.018,0.013,3918.0,1442.0,1.0
"mu[3613, 0]",7.058,0.083,6.912,7.222,0.002,0.001,2222.0,1272.0,1.0
"mu[3613, 1]",24.968,0.879,23.281,26.602,0.013,0.009,4282.0,1135.0,1.01
"mu[3613, 2]",51.151,1.147,49.22,53.516,0.018,0.013,4159.0,1517.0,1.0
"mu[3614, 0]",6.877,0.082,6.723,7.026,0.002,0.001,2283.0,1367.0,1.0
"mu[3614, 1]",23.993,0.878,22.308,25.624,0.013,0.009,4496.0,1532.0,1.01
"mu[3614, 2]",50.658,1.174,48.311,52.681,0.017,0.012,4820.0,1616.0,1.0
"mu[3615, 0]",3.538,0.082,3.38,3.691,0.002,0.001,2753.0,1075.0,1.0
"mu[3615, 1]",25.354,0.868,23.808,27.095,0.012,0.009,5005.0,1470.0,1.0
"mu[3615, 2]",47.209,1.13,45.002,49.192,0.018,0.013,3947.0,1485.0,1.0
"mu[3616, 0]",3.602,0.082,3.438,3.752,0.002,0.001,2736.0,1124.0,1.0
"mu[3616, 1]",23.82,0.872,22.24,25.468,0.013,0.009,4874.0,1409.0,1.0
"mu[3616, 2]",49.694,1.191,47.372,51.78,0.02,0.014,3494.0,1393.0,1.0
"mu[3617, 0]",3.63,0.083,3.485,3.799,0.002,0.001,2950.0,1110.0,1.0
"mu[3617, 1]",25.438,0.869,23.745,27.025,0.012,0.009,5085.0,1547.0,1.0
"mu[3617, 2]",53.134,1.219,50.927,55.367,0.02,0.014,3651.0,1635.0,1.0
"mu[3618, 0]",3.674,0.083,3.508,3.823,0.002,0.001,3010.0,1063.0,1.0
"mu[3618, 1]",24.889,0.868,23.257,26.572,0.012,0.009,4793.0,1525.0,1.0
"mu[3618, 2]",52.185,1.195,50.108,54.554,0.018,0.013,4219.0,1392.0,1.0
"mu[3619, 0]",3.494,0.083,3.339,3.655,0.002,0.001,2516.0,1073.0,1.0
"mu[3619, 1]",23.913,0.875,22.302,25.591,0.013,0.009,4847.0,1331.0,1.0
"mu[3619, 2]",51.693,1.201,49.241,53.863,0.02,0.014,3577.0,1431.0,1.0
"mu[3620, 0]",6.325,0.081,6.179,6.486,0.002,0.001,2783.0,1139.0,1.0
"mu[3620, 1]",25.039,0.911,23.33,26.662,0.013,0.009,4621.0,1364.0,1.0
"mu[3620, 2]",45.183,1.086,43.107,47.195,0.018,0.013,3627.0,1317.0,1.0
"mu[3621, 0]",6.418,0.081,6.267,6.571,0.002,0.001,2628.0,1291.0,1.0
"mu[3621, 1]",22.676,0.905,20.909,24.299,0.014,0.01,4278.0,1477.0,1.0
"mu[3621, 2]",47.685,1.149,45.46,49.706,0.018,0.013,3851.0,1549.0,1.0
"mu[3622, 0]",6.45,0.08,6.311,6.614,0.002,0.001,2566.0,1442.0,1.0
"mu[3622, 1]",24.083,0.906,22.363,25.745,0.013,0.009,4636.0,1532.0,1.0
"mu[3622, 2]",50.823,1.148,48.675,52.909,0.02,0.014,3394.0,1377.0,1.0
"mu[3623, 0]",6.476,0.081,6.331,6.638,0.002,0.001,2571.0,1241.0,1.0
"mu[3623, 1]",23.827,0.909,22.13,25.497,0.014,0.01,4366.0,1290.0,1.0
"mu[3623, 2]",50.048,1.194,47.732,52.181,0.019,0.014,4002.0,1707.0,1.0
"mu[3624, 0]",6.311,0.081,6.162,6.468,0.002,0.001,2644.0,1255.0,1.0
"mu[3624, 1]",22.429,0.907,20.733,24.066,0.014,0.01,4127.0,1368.0,1.0
"mu[3624, 2]",49.163,1.177,47.043,51.415,0.019,0.013,3852.0,1639.0,1.0
"mu[3625, 0]",5.895,0.08,5.743,6.04,0.001,0.001,3067.0,1596.0,1.0
"mu[3625, 1]",24.443,0.891,22.754,26.091,0.013,0.009,4942.0,1304.0,1.0
"mu[3625, 2]",46.096,1.083,44.126,48.133,0.016,0.011,4842.0,1367.0,1.0
"mu[3626, 0]",5.988,0.08,5.842,6.136,0.001,0.001,3273.0,1457.0,1.0
"mu[3626, 1]",22.08,0.886,20.447,23.757,0.013,0.009,5043.0,1315.0,1.0
"mu[3626, 2]",48.598,1.152,46.328,50.581,0.017,0.012,4671.0,1637.0,1.0
"mu[3627, 0]",6.02,0.08,5.877,6.177,0.001,0.001,3354.0,1509.0,1.0
"mu[3627, 1]",23.487,0.889,21.763,25.107,0.013,0.009,4872.0,1594.0,1.0
"mu[3627, 2]",51.737,1.143,49.624,53.899,0.018,0.013,3969.0,1481.0,1.0
"mu[3628, 0]",6.047,0.08,5.898,6.196,0.001,0.001,3425.0,1591.0,1.0
"mu[3628, 1]",23.231,0.897,21.555,24.854,0.013,0.009,4938.0,1464.0,1.0
"mu[3628, 2]",50.962,1.14,48.75,52.999,0.017,0.012,4387.0,1665.0,1.0
"mu[3629, 0]",5.881,0.08,5.731,6.025,0.001,0.001,3307.0,1492.0,1.0
"mu[3629, 1]",21.833,0.883,20.259,23.566,0.013,0.009,4543.0,1385.0,1.0
"mu[3629, 2]",50.077,1.152,47.951,52.246,0.017,0.012,4711.0,1566.0,1.0
"mu[3630, 0]",6.619,0.085,6.462,6.782,0.001,0.001,4418.0,1224.0,1.0
"mu[3630, 1]",25.956,0.899,24.23,27.649,0.013,0.009,4837.0,1275.0,1.0
"mu[3630, 2]",44.754,1.141,42.662,46.89,0.018,0.013,4093.0,1540.0,1.0
"mu[3631, 0]",6.721,0.086,6.557,6.877,0.001,0.001,5255.0,1349.0,1.0
"mu[3631, 1]",23.041,0.911,21.239,24.707,0.013,0.009,5060.0,1332.0,1.0
"mu[3631, 2]",47.083,1.208,44.923,49.375,0.018,0.013,4548.0,1675.0,1.0
"mu[3632, 0]",6.746,0.086,6.58,6.899,0.001,0.001,4717.0,1069.0,1.0
"mu[3632, 1]",24.599,0.903,22.931,26.309,0.013,0.009,4889.0,1355.0,1.0
"mu[3632, 2]",50.319,1.217,48.049,52.561,0.018,0.013,4633.0,1661.0,1.0
"mu[3633, 0]",6.775,0.086,6.612,6.93,0.001,0.001,5140.0,1022.0,1.0
"mu[3633, 1]",24.323,0.903,22.66,26.059,0.013,0.009,5054.0,1242.0,1.0
"mu[3633, 2]",49.368,1.236,47.188,51.912,0.019,0.013,4287.0,1382.0,1.01
"mu[3634, 0]",6.583,0.085,6.422,6.734,0.001,0.001,5162.0,1421.0,1.0
"mu[3634, 1]",23.006,0.9,21.328,24.758,0.013,0.01,4718.0,1117.0,1.0
"mu[3634, 2]",48.865,1.239,46.476,51.098,0.017,0.012,5314.0,1387.0,1.0
"mu[3635, 0]",8.502,0.08,8.343,8.641,0.002,0.001,2354.0,1447.0,1.0
"mu[3635, 1]",24.578,0.893,23.069,26.355,0.011,0.008,6194.0,1582.0,1.0
"mu[3635, 2]",43.658,1.123,41.445,45.675,0.017,0.012,4502.0,1408.0,1.0
"mu[3636, 0]",8.602,0.08,8.463,8.755,0.002,0.001,2220.0,1456.0,1.0
"mu[3636, 1]",22.675,0.894,20.995,24.299,0.012,0.009,5471.0,1604.0,1.0
"mu[3636, 2]",46.009,1.183,43.802,48.202,0.017,0.012,4969.0,1598.0,1.0
"mu[3637, 0]",8.616,0.08,8.474,8.775,0.002,0.001,2086.0,1306.0,1.0
"mu[3637, 1]",24.046,0.89,22.332,25.633,0.012,0.008,5754.0,1523.0,1.0
"mu[3637, 2]",49.1,1.203,46.784,51.34,0.017,0.012,4806.0,1328.0,1.0
"mu[3638, 0]",8.639,0.081,8.485,8.783,0.002,0.001,2200.0,1426.0,1.0
"mu[3638, 1]",23.694,0.891,22.137,25.423,0.012,0.008,5842.0,1543.0,1.0
"mu[3638, 2]",48.344,1.213,45.9,50.441,0.017,0.012,4906.0,1181.0,1.0
"mu[3639, 0]",8.473,0.08,8.32,8.617,0.002,0.001,2217.0,1327.0,1.0
"mu[3639, 1]",22.509,0.887,20.762,24.071,0.012,0.008,5736.0,1509.0,1.0
"mu[3639, 2]",47.67,1.189,45.567,49.998,0.018,0.013,4396.0,1423.0,1.0
"mu[3640, 0]",6.362,0.08,6.211,6.51,0.001,0.001,4586.0,1466.0,1.0
"mu[3640, 1]",25.562,0.885,23.889,27.178,0.013,0.009,4781.0,1328.0,1.0
"mu[3640, 2]",44.459,1.074,42.421,46.453,0.017,0.012,4076.0,1645.0,1.0
"mu[3641, 0]",6.462,0.079,6.317,6.612,0.001,0.001,5307.0,1498.0,1.0
"mu[3641, 1]",23.659,0.875,22.083,25.403,0.013,0.009,4388.0,1400.0,1.0
"mu[3641, 2]",46.81,1.173,44.714,49.121,0.019,0.013,3995.0,1499.0,1.0
"mu[3642, 0]",6.476,0.08,6.319,6.614,0.001,0.001,5037.0,1541.0,1.0
"mu[3642, 1]",25.03,0.879,23.39,26.657,0.013,0.009,4574.0,1309.0,1.0
"mu[3642, 2]",49.902,1.182,47.774,52.141,0.019,0.013,4002.0,1803.0,1.0
"mu[3643, 0]",6.499,0.08,6.355,6.653,0.001,0.001,5531.0,1563.0,1.0
"mu[3643, 1]",24.678,0.889,22.888,26.251,0.012,0.009,5374.0,1309.0,1.0
"mu[3643, 2]",49.145,1.183,46.907,51.281,0.018,0.013,4422.0,1534.0,1.0
"mu[3644, 0]",6.333,0.079,6.193,6.491,0.001,0.001,5010.0,1444.0,1.0
"mu[3644, 1]",23.493,0.884,21.842,25.148,0.013,0.009,4934.0,1163.0,1.0
"mu[3644, 2]",48.471,1.14,46.311,50.509,0.019,0.013,3587.0,1401.0,1.0
"mu[3645, 0]",5.622,0.081,5.476,5.776,0.001,0.001,4992.0,1441.0,1.0
"mu[3645, 1]",24.311,0.848,22.712,25.882,0.012,0.008,5059.0,1439.0,1.0
"mu[3645, 2]",46.84,1.141,44.673,48.761,0.016,0.011,5445.0,1505.0,1.0
